Ano;Mês;Distribuidor;Código do Produto;Nome do Produto;Região;Quantidade de Produto (mil m³)
2020;1;76 OIL DISTRIBUIDORA DE COMBUSTÍVEIS S/A;320101001;Gasolina A;SE;24,947138
2020;1;76 OIL DISTRIBUIDORA DE COMBUSTÍVEIS S/A;420105001;Diesel A;SE;2,722
2020;1;76 OIL DISTRIBUIDORA DE COMBUSTÍVEIS S/A;810101001;EHC;SE;16,89468
2020;1;76 OIL DISTRIBUIDORA DE COMBUSTÍVEIS S/A;810102004;EAC;SE;9,429621
2020;1;ACOL DISTRIBUIDORA DE COMBUSTÍVEIS LTDA.;320101001;Gasolina A;CO;0,488862
2020;1;ACOL DISTRIBUIDORA DE COMBUSTÍVEIS LTDA.;320101001;Gasolina A;SE;0,997505
2020;1;ACOL DISTRIBUIDORA DE COMBUSTÍVEIS LTDA.;420102004;Diesel A;CO;0,259479
2020;1;ACOL DISTRIBUIDORA DE COMBUSTÍVEIS LTDA.;420102004;Diesel A;SE;0,351297
2020;1;ACOL DISTRIBUIDORA DE COMBUSTÍVEIS LTDA.;420105001;Diesel A;CO;0,070118
2020;1;ACOL DISTRIBUIDORA DE COMBUSTÍVEIS LTDA.;420105001;Diesel A;SE;0,987779
2020;1;ACOL DISTRIBUIDORA DE COMBUSTÍVEIS LTDA.;810101001;EHC;CO;1,803011
2020;1;ACOL DISTRIBUIDORA DE COMBUSTÍVEIS LTDA.;810101001;EHC;SE;0,083479
2020;1;ACOL DISTRIBUIDORA DE COMBUSTÍVEIS LTDA.;810102004;EAC;CO;0,482829
2020;1;ACOL DISTRIBUIDORA DE COMBUSTÍVEIS LTDA.;810102004;EAC;SE;0,225373
2020;1;ALCOOLBRAS - ÁLCOOL DO BRASIL DISTRIBUIDORA DE COMBUSTÍVEIS LTDA.;320101001;Gasolina A;CO;3,005007
2020;1;ALCOOLBRAS - ÁLCOOL DO BRASIL DISTRIBUIDORA DE COMBUSTÍVEIS LTDA.;420102004;Diesel A;CO;2,997427
2020;1;ALCOOLBRAS - ÁLCOOL DO BRASIL DISTRIBUIDORA DE COMBUSTÍVEIS LTDA.;420105001;Diesel A;CO;0,551402
2020;1;ALCOOLBRAS - ÁLCOOL DO BRASIL DISTRIBUIDORA DE COMBUSTÍVEIS LTDA.;810101001;EHC;CO;3,676495
2020;1;ALCOOLBRAS - ÁLCOOL DO BRASIL DISTRIBUIDORA DE COMBUSTÍVEIS LTDA.;810102004;EAC;CO;1,484031
2020;1;ALESAT COMBUSTÍVEIS S. A.;320101001;Gasolina A;CO;4,338376
2020;1;ALESAT COMBUSTÍVEIS S. A.;320101001;Gasolina A;N;0,774167
2020;1;ALESAT COMBUSTÍVEIS S. A.;320101001;Gasolina A;NE;34,802125
2020;1;ALESAT COMBUSTÍVEIS S. A.;320101001;Gasolina A;S;13,353474
2020;1;ALESAT COMBUSTÍVEIS S. A.;320101001;Gasolina A;SE;44,994599
2020;1;ALESAT COMBUSTÍVEIS S. A.;420102004;Diesel A;CO;4,572912
2020;1;ALESAT COMBUSTÍVEIS S. A.;420102004;Diesel A;N;0,44894
2020;1;ALESAT COMBUSTÍVEIS S. A.;420102004;Diesel A;NE;22,683201
2020;1;ALESAT COMBUSTÍVEIS S. A.;420102004;Diesel A;S;6,636927
2020;1;ALESAT COMBUSTÍVEIS S. A.;420102004;Diesel A;SE;30,560653
2020;1;ALESAT COMBUSTÍVEIS S. A.;420105001;Diesel A;CO;3,187616
2020;1;ALESAT COMBUSTÍVEIS S. A.;420105001;Diesel A;N;0,203944
2020;1;ALESAT COMBUSTÍVEIS S. A.;420105001;Diesel A;NE;25,402175
2020;1;ALESAT COMBUSTÍVEIS S. A.;420105001;Diesel A;S;6,738202
2020;1;ALESAT COMBUSTÍVEIS S. A.;420105001;Diesel A;SE;29,616617
2020;1;ALESAT COMBUSTÍVEIS S. A.;420201001;Diesel A;S;0,650482
2020;1;ALESAT COMBUSTÍVEIS S. A.;420201001;Diesel A;SE;1,191083
2020;1;ALESAT COMBUSTÍVEIS S. A.;810101001;EHC;CO;18,546084
2020;1;ALESAT COMBUSTÍVEIS S. A.;810101001;EHC;NE;6,210604
2020;1;ALESAT COMBUSTÍVEIS S. A.;810101001;EHC;S;0,806513
2020;1;ALESAT COMBUSTÍVEIS S. A.;810101001;EHC;SE;15,790579
2020;1;ALESAT COMBUSTÍVEIS S. A.;810102004;EAC;CO;1,713553
2020;1;ALESAT COMBUSTÍVEIS S. A.;810102004;EAC;NE;10,066823
2020;1;ALESAT COMBUSTÍVEIS S. A.;810102004;EAC;S;1,644148
2020;1;ALESAT COMBUSTÍVEIS S. A.;810102004;EAC;SE;27,364145
2020;1;ALFA DISTRIBUIDORA DE PETRÓLEO LTDA.;810101001;EHC;CO;8,150443
2020;1;ALL DISTRIBUIDORA DE COMBUSTÍVEIS EIRELI;810101001;EHC;CO;3,626349
2020;1;ALL DISTRIBUIDORA DE COMBUSTÍVEIS EIRELI;810101001;EHC;S;2,709316
2020;1;ALL DISTRIBUIDORA DE COMBUSTÍVEIS EIRELI;810101001;EHC;SE;49,02712
2020;1;ALPES DISTRIBUIDORA DE PETRÓLEO LTDA.;810101001;EHC;CO;5,903704
2020;1;ALPES DISTRIBUIDORA DE PETRÓLEO LTDA.;810101001;EHC;S;4,176488
2020;1;AMERICANOIL DISTRIBUIDORA DE DERIVADOS DE PETRÓLEO EIRELI;320101001;Gasolina A;S;3,366215
2020;1;AMERICANOIL DISTRIBUIDORA DE DERIVADOS DE PETRÓLEO EIRELI;420102004;Diesel A;S;1,642266
2020;1;AMERICANOIL DISTRIBUIDORA DE DERIVADOS DE PETRÓLEO EIRELI;420105001;Diesel A;S;1,502857
2020;1;AMERICANOIL DISTRIBUIDORA DE DERIVADOS DE PETRÓLEO EIRELI;810101001;EHC;SE;0,089555
2020;1;AMERICANOIL DISTRIBUIDORA DE DERIVADOS DE PETRÓLEO EIRELI;810102004;EAC;S;0,591205
2020;1;AMERICANOIL DISTRIBUIDORA DE DERIVADOS DE PETRÓLEO EIRELI;810102004;EAC;SE;0,86864
2020;1;ARAGUAIA DISTRIBUIDORA DE COMBUSTÍVEIS S.A;320101001;Gasolina A;CO;2,998194
2020;1;ARAGUAIA DISTRIBUIDORA DE COMBUSTÍVEIS S.A;420102004;Diesel A;CO;2,639259
